------------------------------------------------------------										
Server	listening	on	TCP	port	5001					
TCP	window	size:	85.3	KByte	(default)					
------------------------------------------------------------										
[	4]	85.0-86.0	sec		51944	KBytes	425524	Kbits/sec		
[	4]	86.0-87.0	sec		58775	KBytes	481489	Kbits/sec		
[	4]	87.0-88.0	sec		61325	KBytes	502372	Kbits/sec		
[	4]	88.0-89.0	sec		59024	KBytes	483525	Kbits/sec		
[	4]	89.0-90.0	sec		58272	KBytes	477365	Kbits/sec		
[	4]	90.0-91.0	sec		57140	KBytes	468091	Kbits/sec		
[	4]	91.0-92.0	sec		56980	KBytes	466779	Kbits/sec		
[	4]	92.0-93.0	sec		50844	KBytes	416514	Kbits/sec		
[	4]	93.0-94.0	sec		53722	KBytes	440087	Kbits/sec		
[	4]	94.0-95.0	sec		53970	KBytes	442125	Kbits/sec		
[	4]	95.0-96.0	sec		59574	KBytes	488028	Kbits/sec		
[	4]	96.0-97.0	sec		48986	KBytes	401293	Kbits/sec		
[	4]	97.0-98.0	sec		54939	KBytes	450057	Kbits/sec		
[	4]	98.0-99.0	sec		51807	KBytes	424406	Kbits/sec		
[	4]	99.0-100.0	sec		52260	KBytes	428110	Kbits/sec		
[	4]	100.0-101.0	sec		52935	KBytes	433645	Kbits/sec		
[	4]	101.0-102.0	sec		55909	KBytes	458005	Kbits/sec		
[	4]	102.0-103.0	sec		52998	KBytes	434159	Kbits/sec		
[	4]	103.0-104.0	sec		51075	KBytes	418405	Kbits/sec		
[	4]	104.0-105.0	sec		54466	KBytes	446185	Kbits/sec		
[	4]	105.0-106.0	sec		56408	KBytes	462097	Kbits/sec		
[	4]	106.0-107.0	sec		52975	KBytes	433974	Kbits/sec		
[	4]	107.0-108.0	sec		58093	KBytes	475899	Kbits/sec		
[	4]	108.0-109.0	sec		59353	KBytes	486223	Kbits/sec		
[	4]	109.0-110.0	sec		66613	KBytes	545695	Kbits/sec		
[	4]	110.0-111.0	sec		62848	KBytes	514851	Kbits/sec		
[	4]	111.0-112.0	sec		70656	KBytes	578814	Kbits/sec		
[	4]	112.0-113.0	sec		65792	KBytes	538968	Kbits/sec		
[	4]	113.0-114.0	sec		62592	KBytes	512754	Kbits/sec		
[	4]	114.0-115.0	sec		70272	KBytes	575668	Kbits/sec		
[	4]	115.0-116.0	sec		62097	KBytes	508696	Kbits/sec		
[	4]	116.0-117.0	sec		69248	KBytes	567280	Kbits/sec		
[	4]	117.0-118.0	sec		65452	KBytes	536181	Kbits/sec		
[	4]	118.0-119.0	sec		64768	KBytes	530579	Kbits/sec		
[	4]	119.0-120.0	sec		71936	KBytes	589300	Kbits/sec		
[	4]	0.0-120.0	sec		7531648	KBytes	513950	Kbits/sec		
